Data,Inf,Unemp,FYFF
1955,1.838177,4.733333,1.336667
1955.25,1.808829,4.4,1.493333
1955.5,2.87839,4.1,1.92
1955.75,4.035709,4.233333,2.356667
1956,3.957609,4.033333,2.48
1956.25,2.329076,4.2,2.693333
1956.5,5.023854,4.133333,2.81
1956.75,1.493908,4.133333,2.926667
1957,5.685084,3.933333,2.963333
1957.25,2.661878,4.1,3
1957.5,2.342541,4.233333,3.243333
1957.75,0.053132,4.933333,3.233333
1958,4.460982,6.3,1.863333
1958.25,1.448905,7.366667,0.94
1958.5,2.718834,7.333333,1.323333
1958.75,2.287107,6.366667,2.163333
1959,0.124276,5.833333,2.56
1959.25,0.106465,5.1,3.083333
1959.5,0.956367,5.266667,3.566667
1959.75,1.804745,5.6,3.99
1960,1.764575,5.133333,3.933333
1960.25,1.26611,5.233333,3.696667
1960.5,1.442093,5.533333,2.936667
1960.75,1.25758,6.266667,2.296667
1961,0.895857,6.8,2.003333
1961.25,0.893855,7,1.736667
1961.5,1.069996,6.766667,1.68
1961.75,1.244722,6.2,2.403333
1962,2.477884,5.633333,2.403333
1962.25,0.705157,5.533333,2.553333
1962.5,0.879701,5.566667,2.846667
1962.75,1.228341,5.533333,2.923333
1963,1.399214,5.766667,2.963333
1963.25,0.523446,5.733333,2.963333
1963.5,0.696864,5.5,3.33
1963.75,3.120952,5.566667,3.453333
1964,1.034929,5.466667,3.463333
1964.25,1.032259,5.2,3.49
1964.5,1.54341,5,3.456667
1964.75,2.04866,4.966667,3.576667
1965,2.038221,4.9,3.973333
1965.25,1.69062,4.666667,4.076667
1965.5,1.683504,4.366667,4.073333
1965.75,2.678955,4.1,4.166667
1966,2.661132,3.866667,4.556667
1966.25,3.137271,3.833333,4.913333
1966.5,4.253619,3.766667,5.41
1966.75,3.402897,3.7,5.566667
1967,1.610308,3.833333,4.823333
1967.25,2.563084,3.833333,3.99
1967.5,4.130299,3.8,3.893333
1967.75,4.40083,3.9,4.17
1968,4.507528,3.733333,4.79
1968.25,3.998495,3.566667,5.983333
1968.5,3.807377,3.533333,5.943333
1968.75,5.569234,3.4,5.916667
1969,4.01565,3.4,6.576667
1969.25,5.292249,3.433333,8.326667
1969.5,5.799304,3.566667,8.983333
1969.75,5.148444,3.566667,8.94
1970,5.643833,4.166667,8.573333
1970.25,5.427114,4.766667,7.88
1970.5,3.303529,5.166667,6.703333
1970.75,5.175421,5.833333,5.566667
1971,5.910114,5.933333,3.856667
1971.25,5.298091,5.9,4.563333
1971.5,4.05829,6.033333,5.476667
1971.75,3.243086,5.933333,4.75
